字段名称,数据类型,显示顺序,栏位名称,表或者视图名称,ID
CustomerID,bigint,2,客户,V_APS_SalesOrderDetailDeliverFreeze,43848
Code,varchar,2,产品编码,V_APS_MaterialForecast,44334
MasterCode,varchar,2,产品编码,V_APS_MaterialForecastForm,44407
MaterialName,nvarchar,2,物料名称,V_APS_MaterialForecastBom,44732
CreatedByName,nvarchar,2,姓名,V_APS_UserOnlineCount,38399
CheckType,nvarchar,2,检验类型,APS_ProductCheck_JDY,39337
ForeCastNo,varchar,2,预测单号,V_APS_ManualForecastDetail,39823
ToolingCode,varchar,2,工装编号,APS_ToolingRegister_JDY,39800
ViewSort,int,2,顺序,V_APS_ProcessMaterial,39551
PCDeliveryDate,datetime,2,要求开工,V_APS_MOPlanStep1V12,41769
OrganizeName,nvarchar,2,拉线,V_APS_OrganizeWorkingTimesDetail,10126
Code,varchar,2,物料编码,V_APS_MaterialBOM,4604
OrganizeName,nvarchar,2,所属组织,V_APS_SchedulingForERP,2071
Code,varchar,2,物料编码,Dev_Supplier,3654
TabelName,varchar,2,表名称,Dev_Dictionary,334
MaterialName,nvarchar,2,物料名称,V_APS_SchedulingSpecial,21466
SourceOrderNo,varchar,2,生产批号,V_APS_Report10,23740
OrganizeName,nvarchar,2,产线,V_APS_OrganizeWorkingPlan,26614
SuplierCode,varchar,2,供应商代码,APS_DeliveryDataByName,26269
CustomerName,nvarchar,2,客户名称,V_APS_SalesOrderDetailPlanLine,21238
OrderNo,varchar,2,生产单号,V_APS_PrepareView4,14159
OrderNo,varchar,2,工单号,V_APS_Report17,14945
WorkShopName,nvarchar,2,车间,V_APS_Report19,36622
OrderNo,varchar,2,生产单号,V_APS_OrderSplitLog,28768
MaterialType,nvarchar,2,分类,V_APS_OrderPlanMaterialFormByItem1,28610
OrderDate,datetime,2,下单时间,V_APS_Report21,28382
OrderNo,varchar,2,生产单号,V_APS_OrderInfo,27520
MaterialName,nvarchar,2,物料名称,V_APS_PrepareView26,30199
SystemViewSort,int,2,系统排序,V_APS_MOPlanStep4V9,36087
OrderNo,varchar,2,生产单号,V_APS_Orderfinish,36114
MenuCode,varchar,2,菜单,V_APS_Report58,33750
OrderNo,varchar,2,生产单号,V_APS_SalesOrderDeliveryReplyInfo,35242
ProcessValues,nvarchar,2,适用工序,V_Dev_OrganizeProcess,35113
FreezeDate,datetime,2,封存日期,WMS_StockAll,29396
ERPEndDate,date,2,计划完工,V_APS_Report53,31827
SuplierCode,varchar,2,供方代码,V_APS_WeekDeliveryDataDetail,28548
MaterialType,nvarchar,2,分类,V_APS_MaterialLadderLossRelated,36368
StartNumber,int,2,起始数量,V_APS_MaterialLadderLossConfig,36325
OrganizeName,nvarchar,2,组织,APS_MaterialLadderLossRelated,36305
OrganizeName,nvarchar,2,组织,APS_MaterialLadderLossConfig,36284
CreatedBy,varchar,2,创建账号,APS_ManualForecastDetail,37922
S2,decimal,2,报工数,V_APS_Report48,37192
SourceOrderNo,varchar,2,销售订单,V_APS_SalesOrderDetailDelivery,37132
PlanQty,decimal,2,计划数,V_APS_PrepareView11,38118
Extend2,varchar,2,单据状态,V_APS_ProcessMaterialHistory,38109
AllOnload,decimal,2,在途汇总,V_APS_MaterialBalanceHistoryReason,38055
CreatedBy,varchar,2,创建账号,APS_OrganizeDemandOrder,38177
Code,varchar,2,物料编码,V_APS_MaterialBalanceHistory,38044
Extend15,nvarchar,2,生产组织,V_APS_OrderAchievedRate,37287
ProcessMaterial,varchar,2,配置ID,APS_ProcessMaterialHistory,38010
OrganizeName,nvarchar,2,组织,APS_MaterialBalanceTotalHistory,37989
OrganizeName,nvarchar,2,组织,APS_MaterialBalanceHistory,37962
CustomerCode,varchar,2,代码,V_Dev_Customer,21135
Account,varchar,2,账号,V_Dev_AccountRole,19143
MaterialName,nvarchar,2,机种名称,V_APS_OrderForPrepare2,25940
Code,varchar,2,物料编码,V_APS_OrderForm,25304
LineName,nvarchar,2,产线,V_APS_Report29,24300
OrganizeName,nvarchar,2,所属组织,V_APS_LineAttendanceDetail,21631
DataType,varchar,2,数据类型,V_DictionaryField,726
ProcessName,nvarchar,2,工序,V_APS_ProcessGroupInfo,3273
Price,decimal,2,单价,Wages_Incentive,3331
Pwd,varchar,2,密码,V_Dev_Account,3832
OrganizeID,int,2,公司,APS_Holiday,2482
ProcessGroupName,nvarchar,2,工艺,APS_ProcessGroup,3056
ProcessGroupName,nvarchar,2,工艺,V_APS_ProcessGroup,3057
ProcessGroupName,nvarchar,2,工艺,V_APS_Material,7360
CreatedBy,varchar,2,导入人,V_APS_ProcessMaterialError,7658
Code,varchar,2,物料编码,V_APS_OrderPlanMaterialForm,9063
ResourcesName,nvarchar,2,资源名称,V_APS_AssessmentResources,41704
OrganizeName,nvarchar,2,组织,APS_AssessmentHR,41574
OrganizeName,nvarchar,2,组织,APS_AssessmentResources,41615
OrganizeID,bigint,2,组织ID,APS_AssessmentMachine,41594
OrderNo,varchar,2,生产单号,V_APS_Report41,41474
PositionName,nvarchar,2,岗位名称,V_Dev_Position,40867
OrganizeName,nvarchar,2,组织,Dev_PositionAccountMap,40799
OrganizeID,int,2,组织ID,APS_NewProductTrial,40524
OrganizeID,int,2,组织ID,APS_QualityAbnormalityCase,40559
OrganizeName,nvarchar,2,组织,Dev_PositionLevelMap,40825
OrganizeName,nvarchar,2,组织,APS_ProcessPosition,40780
BatchNO,nvarchar,2,询单编号,V_APS_Report44,39298
FNameCaption,nvarchar,2,字段描述,APS_InterfaceSAPInput,39125
SyncDatetime,datetime,2,同步日期,V_APS_Report35,38302
CreatedByName,nvarchar,2,姓名,V_PWS_WageTrendReport,38385
OrderDate,datetime,2,下单时间,V_APS_MOPlanStep1V10,38347
Extend14,nvarchar,2,物料分组,V_APS_MaterialBalancePlan,38533
LineNum,int,2,来源行号,V_APS_SalesPlanMaterial,39068
Spec,nvarchar,2,规格型号,V_APS_ProcessPartMaterial2,44260
OrganizeName,nvarchar,2,组织,APS_MaterialForecastForm,44307
OrganizeName,nvarchar,2,组织,APS_MaterialForecastBom,44284
SalesCustomerName,nvarchar,2,客户名称(销售),V_APS_PrepareView1,43798
OrganizeName,nvarchar,2,生产线,V_APS_SalesOrderDetailDeliver3Total,43803
CustomerName,nvarchar,2,客户名称,V_APS_OrderForCheck,44039
MaterialID,bigint,2,料品ID,MES_RouteReport,44047
S1,decimal,2,超订汇总,V_APS_MaterialBalanceByType,42378
SupplierGroup,nvarchar,2,分组,V_APS_PrepareView17,42326
Extend10,nvarchar,2,属性,V_APS_Report45,42269
SuplierCode,varchar,2,供应商代码,APS_DeliveryRule,42272
E2,decimal,2,呆滞数量,V_APS_PrepareView15,42092
Code,varchar,2,物料编码,V_APS_MaterialOrg,41795
LevelName,nvarchar,2,岗位等级,V_Dev_PositionAccountMap,42928
Name,nvarchar,2,姓名,V_APS_LineAttendance,43611
DocNo,varchar,2,发料单号,V_WMS_ArrivalGoods,42615
Name,nvarchar,2,姓名,Dev_PositionExamRecord,42802
Name,nvarchar,2,姓名,V_Dev_AccountEmployee,42806
PositionName,nvarchar,2,子岗位名称,V_Dev_PositionDetail,42836
MasterMaterialName,nvarchar,2,产品名称,V_APS_Report36,45103
Code,varchar,2,物料编码,V_APS_Report37,45106
LineName,nvarchar,2,生产组,V_APS_Report26,46682
ProcessPartName,nvarchar,2,类型,V_APS_PrepareView20,46527
Extend13,int,2,委外,V_APS_MOPlanStep4V11,46497
ProcessPartName,varchar,2,类型,V_APS_Report18,46519
OrderNo,varchar,2,工单号,V_APS_Report14,45864
MaterialType,nvarchar,2,分类,V_APS_OrderForPrepare,47725
LineName,nvarchar,2,生产线别,V_APS_OrderForPrepare3,47897
OrderNo,varchar,2,生产单号,V_APS_PrepareView5,47439
OrderID,bigint,2,工单ID,MES_OrderRouteReport,46902
SuggestedStartDate,datetime,2,建议开工,V_APS_MOPlanStep1V2,46678
OrderNo,varchar,3,生产单号,V_APS_MOPlanStep2V1,44813
NoWorkHours,bit,3,忽略,V_APS_MOPlanStep4,45354
LineName,nvarchar,3,生产线别,V_APS_ProcessStaffMatrix,42521
OrderNo,varchar,3,生产单号,V_APS_PrepareView1,43388
PositionName,nvarchar,3,岗位,V_Dev_PositionExamRecord,42885
Code,varchar,3,物料编码,V_APS_PrepareView6,41941
OrderNo,varchar,3,生产单,V_APS_ProductionReportMt,42425
Code,varchar,3,产品编码,V_APS_SalesOrderDetailDeliverFreeze,44029
OrderNo,varchar,3,生产单号,V_APS_OrderWarning,43665
Remark1,nvarchar,3,类型,V_APS_SchedulingOutByOrder,43827
Qty,decimal,3,数量,V_APS_MaterialForecast,44335
Spec,nvarchar,3,规格型号,V_APS_MaterialForecastBom,44733
MasterMaterialName,nvarchar,3,产品名称,V_APS_MaterialForecastForm,44723
LineName,nvarchar,3,线别,APS_ProductCheck_JDY,39344
Code,varchar,3,物料编码,APS_ProductAgingCondition_JDY,39771
ToolingName,nvarchar,3,工装名称,APS_ToolingRegister_JDY,39801
CustomerID,bigint,3,客户,V_APS_ManualForecastDetail,39841
ProcessPartName,nvarchar,3,工段,V_APS_ProcessMaterial,40702
WorkingDate,datetime,3,工作日期,V_APS_OrganizeWorkingTimesDetail,1505
SupplierName,nvarchar,3,供应商名称,Dev_Supplier,3458
FieldIndex,int,3,顺序,V_DictionaryField,750
DictionaryID,int,3,ID,Dev_Dictionary,331
LineID,bigint,3,生产线,V_APS_MOPlanStep1V10,22406
Code,varchar,3,产品编码,V_APS_SalesOrderDetailPlanLine,21234
OrderNo,varchar,3,工单号,V_APS_Report10,23720
OrderNo,varchar,3,生产单号,V_APS_MOPlanStep1V9,24951
ItemCode,varchar,3,物料编码,APS_DeliveryDataByName,26265
Code,varchar,3,成品料号,V_APS_PrepareView5,20840
ProductCode,varchar,3,产品编码,V_APS_Report17,14940
Code,varchar,3,物料编码,V_APS_PrepareView4,14161
LineName,nvarchar,3,生产线,V_APS_Report19,36624
OrderNo,varchar,3,工单号,V_APS_Report1,28498
Code,varchar,3,物料编码,V_APS_OrderInfo,27638
Extend10,nvarchar,3,属性,V_APS_SalesOrderBom,35216
ManagerCode,varchar,3,负责人,V_Dev_OrganizeProcess,35087
ProcessName,nvarchar,3,工序,V_APS_SchedulingSpecial,33743
Code,nvarchar,3,物料编码,V_APS_Report44,34695
ProcessName,nvarchar,3,工序,V_APS_MaterialForSpecial,34194
SourceOrderNo,varchar,3,销售订单,V_APS_MOPlanStep4V9,36041
SuplierName,nvarchar,3,供应商名称,V_APS_WeekDeliveryDataDetail,28547
EndNumber,int,3,上限数量,V_APS_MaterialLadderLossConfig,36326
MaterialGroup,nvarchar,3,物料分组,V_APS_MaterialLadderLossRelated,36369
GroupID,int,3,群组ID,APS_MaterialLadderLossConfig,36285
GroupID,int,3,群组ID,APS_MaterialLadderLossRelated,36306
SourceOrderLineNo,varchar,3,行号,V_APS_SalesOrderDetailDelivery,37155
CreatedByName,nvarchar,3,创建姓名,APS_ManualForecastDetail,37923
LineNum,varchar,3,行号,V_APS_SalesOrderDeliveryReplyInfo,36832
GroupID,int,3,群组ID,APS_MaterialBalanceHistory,37963
GroupID,int,3,群组ID,APS_MaterialBalanceTotalHistory,37990
MaterialID,bigint,3,料品ID,APS_ProcessMaterialHistory,38011
total,int,3,工单总数,V_APS_OrderAchievedRate,37288
CreatedByName,nvarchar,3,创建姓名,APS_OrganizeDemandOrder,38178
StockQtyAll,decimal,3,库存汇总,V_APS_MaterialBalanceHistoryReason,38056
HasQty,decimal,3,报工数,V_APS_PrepareView11,38119
MaterialName,nvarchar,3,物料名称,V_APS_PrepareView25,14480
NoSchedulingWeek,bit,3,挂起,V_APS_MOPlanStep4V11,19095
CustomerName,nvarchar,3,名称,V_Dev_Customer,21136
OrderNo,varchar,3,工单号,V_APS_OrderForPrepare3,17451
Code,varchar,3,物料编码,V_APS_DeliveryData2,26641
MaterialName,nvarchar,3,物料名称,V_APS_OrderForm,25305
OrderNo,varchar,3,生产单号,V_APS_Report29,24295
MachineName,nvarchar,3,机台名称,APS_Machine,1381
MaterialName,nvarchar,3,物料名称,V_APS_MaterialBOM,3237
IsScheduling,bit,3,排产,V_APS_ProcessGroupInfo,3255
MaterialName,nvarchar,3,物料名称,V_APS_OrderPlanMaterialForm,9065
ProcessName,nvarchar,3,工序,V_APS_ProcessScheduling,11520
Code,varchar,3,产品编码,V_APS_OrderForCheck,5908
GroupID,int,3,群组ID,APS_ProcessPosition,40781
GroupID,int,3,群组ID,Dev_PositionLevelMap,40826
